sample_id,content,challenge_group,annotator_a_scope_decision,annotator_a_label,annotator_a_evidence,annotator_a_confidence,annotator_a_reason,annotator_a_needs_discussion,annotator_b_scope_decision,annotator_b_label,annotator_b_evidence,annotator_b_confidence,annotator_b_reason,annotator_b_needs_discussion,scope_agree,effective_outcome_a,effective_outcome_b,effective_outcome_agree,queue_reason,final_scope_decision,final_label,adjudication_reason,scope_policy_change_required
phase1_02195,"GIA HAN LIEN TAY, CHOP NGAY UU DAI! Goi cuoc FHAPPY (118.000d/90 ngay) cua QK co HSD het ngay 11/04/2025 23:59:59. Moi QK gia han goi cuoc bang cach quet QR va thanh toan de dang qua tai khoan ngan hang/vi dien tu tai https://thanhtoan.vnpt.vn/945b51a2. CSKH 18001091.",debt_threat,accepted,0,,high,TB hợp pháp,0,accepted,1,HSD het ngay 11/04/2025 23:59:59,medium,"50-50, co thong bao gap rut lien quan tien va co url kem theo",1,1,accepted_label_0,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,accepted,0,Đưa vào queue để thảo luận thêm; sau thảo luận thống nhất quyết định cuối.,no
phase1_02261,"Quy khach da dang ky thanh cong Bao hiem xe may PVI. So hop dong 250192454, Ho ten chu xe: Cao Minh Tan, bien so/ so khung: 68M7-2020. Phi bao hiem 99.000d da duoc tru vao Cong thanh toan Viettel Money cua Quy khach. Thoi gian hieu luc tu 17:27 07/02/2025 den 17:27 07/02/2028. Truy cap https://km.viettelmoney.vn/6Win/HOPDONG hoac https://congbaohiem.com.vn/Personal/Index de tra cuu hop dong bao hiem. Lien he 0981314410 (0 d/p).",legitimate_security_like,accepted,0,tru vao Cong thanh toan Viettel Money,high,TB bảo hiểm xe máy ,0,accepted,0,Phi bao hiem 99.000d,medium,hoi lien quan den tien va huong dan ng dung truy cap link,1,1,accepted_label_0,accepted_label_0,1,annotator_b_discussion,accepted,0,thảo luận thêm,no
phase1_02338,Chung toi phat hien tai khoan cua ban dang tieu dung o nuoc ngoai .Neu khong phai ban dang tieu dung vui long nhap vao https://v-acb.com de huy thanh toan,debt_threat,accepted,1, tai khoan cua ban dang tieu dung o nuoc ngoai; eu khong phai ban dang tieu dung vui long nhap,high,Lừa đảo giả mạo ngân hàng,0,needs_adjudication,,,medium,"noi dung canh bao kha sach, link thi dang nghi",0,0,accepted_label_1,needs_adjudication,0,outcome_disagreement,accepted,1,cần thảo luận,no
phase1_02348,"Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn Sau khi đã tải app xong, hãy phản hồi lại tin nhắn này để chúng tôi trao đổi và hướng dẫn các bước tiếp theo.",language_boundary,accepted,1,,high,Giả mạo công chức nhà nước,0,accepted,1,truy cập và tải app ,medium,co hanh vi du do tai app doc hai,1,1,accepted_label_1,accepted_label_1,1,annotator_b_discussion,accepted,1,đã thảo luận xong,no
phase1_02364,"tORKiM! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g;Ho,ngbao'a~n^t*o$n!hayP3m56",out_of_scope_malicious,needs_adjudication,,"M! ay:Ma""n;N,ha7lXklq,uoacx.tech*;G^ja*nh$ap! nhan:thu""0g",high,Dụ dỗ click vào đường link bất chính,1,excluded_insufficient_context,,,medium,doc cha hieu gi,1,0,needs_adjudication,excluded_insufficient_context,0,outcome_disagreement|annotator_a_discussion|annotator_b_discussion|low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất,no
phase1_02371,Em la nu sinh vien 21 tuoi MU0N KIEM chut Tjen trang TRAI CU0C S0NG EM C0 the den lam tinh khu vuc nao cung DU0C GIA CA Uu DAI Add ZAL0 e: 0367891234 QkR,out_of_scope_malicious,excluded_out_of_scope_malicious,,,high,Nội dung nhạy cảm,0,excluded_out_of_scope_malicious,,lam tinh,high,thuoc hanh vi mai dam=>te nan xa hoi k phai lua dao,0,1,excluded_out_of_scope_malicious,excluded_out_of_scope_malicious,1,low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất ,no
phase1_02412,https://ww.facebook.com/CSKHduongdinhninh035/ Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng MVD: 1041 SĐT ĐẶT HÀNG: 0987654321,language_boundary,accepted,0,Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng,medium,"Thương hiệu hợp lệ, nội dung cũng khá là hợp lý",1,accepted,0,,high,tin nhan cskh kha than thien vo hai,0,1,accepted_label_0,accepted_label_0,1,annotator_a_discussion,accepted,0,đã thảo luận xong,no
phase1_02434,"j)t.ly/Q5YuG Um Cu,u~Th,ua8% ZJ Na.pVao- LanD:au,UuDa'j:8Tr8 PJ wz8:88.Bma Gu.i_C:OT~6OKa:H'SD;2_4H {H6MW9KD1X191> z Hoa'n,Tr'a~1,4% Ge",out_of_scope_malicious,needs_adjudication,,,high,,1,needs_adjudication,,,medium,nd k hieu gi nhung co link dang ngo,1,1,needs_adjudication,needs_adjudication,1,annotator_a_discussion|annotator_b_discussion|low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất ,no
phase1_02435,"&,b La,yNg,ay_Ba'y~9Ng'hjn"" Kh'iID:o:wn:l:oadU'n'gDu'gVa_ XacN:han,SoD:T {TXGIJE> m K'Ma'iVo'g'Quay""P:h:a:tTai:1_59 :Ng:j:n6;VbUmlosnG.qcpo.bid D",out_of_scope_malicious,needs_adjudication,,"ID:o:wn:l:oadU'n'gDu'gVa_ XacN:han,SoD:T",high,Dụ dỗ tải app bất chính,1,needs_adjudication,,,low,khong hieu noi dung,0,1,needs_adjudication,needs_adjudication,1,annotator_a_discussion|low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất,no
phase1_02450,"Chào chị. Tôi là cán bộ thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn. Sau khi đã tải app xong, chị hãy phản hồi lại tin nhắn này để chúng tôi theo dõi và hướng dẫn các bước tiếp theo. - Công chức thuế (Tên cơ quan)",language_boundary,accepted,1,cán bộ thuế vừa trao đổi điện thoại,high,Giả mạo công chức nhà nước,0,accepted,1,Sau khi đã tải app xong,low,co dau hieu du do tai app doc hai,1,1,accepted_label_1,accepted_label_1,1,annotator_b_discussion|low_or_missing_confidence,accepted,1,đã thảo luận xong,no
phase1_02459,Xin chúc mừng bạn @gmail.com đã trúng thưởng một xe máy SH trị giá 97 triệu đồng. Vui lòng truy cập website: www.traogiainammoi2022.com để hoàn tất hồ sơ nhận thưởng,opportunity_ambiguous,accepted,1,Vui lòng truy cập website: www.traogiainammoi2022.com để hoàn tất hồ sơ nhận thưởng,high,Có dấu hiệu lừa đảo khá rõ,1,accepted,1,,high,qua gia tri lon va kem link thuong de thao tung nan nhan lam theo de lua dao,0,1,accepted_label_1,accepted_label_1,1,annotator_a_discussion,accepted,1,đã thảo luận xong,no
phase1_02516,Dang ky nhan ngay 88.000k mien phi Su kien sieu Hot nap dau nhan ngay 238k x1 vong cuoc. Chuc AE may man t.ly/O4mad,out_of_scope_malicious,excluded_out_of_scope_malicious,,,high,QC cờ bạc,0,accepted,1,,high,co hanh vi lua dao ttcn,1,0,excluded_out_of_scope_malicious,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,excluded_out_of_scope_malicious,,đã thống nhất,no
phase1_02532,"DvVCh:oj_Vu,jVe Ch.jenThan.g:H,OTz99N:g:in-M,ayMa'nsk<2srcfxcs.sh-n.com'KfQi",out_of_scope_malicious,needs_adjudication,,,high,,1,accepted,1,"Ch:oj_Vu,jVe Ch.jenThan.g",high,dau hieu co bac online lua dao,0,0,needs_adjudication,accepted_label_1,0,outcome_disagreement|annotator_a_discussion|low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất,no
phase1_02546,Rut ko c4nnap KVVlN TAG 199 k - 399 k n4pdau TRAlNGHlEM GEM-BAl XANH 9  VAO c19.kwin668.com  hPNNO,out_of_scope_malicious,needs_adjudication,,,high,,1,accepted,1,TRAlNGHlEM GEM-BAl XANH 9 VAO c19.kwin668.com,high,co bac online lua dao tien,1,0,needs_adjudication,accepted_label_1,0,outcome_disagreement|annotator_a_discussion|annotator_b_discussion|low_or_missing_confidence,excluded_out_of_scope_malicious,,đã thống nhất,no
phase1_02560,"3i Dang Ki Tang 88K, Nap Dau Tang 188K,Va Nhieu Uu Dai Khac. Thang Rut Cuc Nhanh, Chuc AE Thang Lon. tixa1kv.Gezne.de dk",out_of_scope_malicious,excluded_out_of_scope_malicious,,"Dang Ki Tang 88K, Nap Dau Tang 188K",high,QC cờ bạc,0,accepted,1,,high,co bac online,1,0,excluded_out_of_scope_malicious,accepted_label_1,0,outcome_disagreement|annotator_b_discussion,excluded_out_of_scope_malicious,,đã thống nhất ,no
