sample_id,content,disagreement_types,annotator_a_domain,annotator_b_domain,mistral_domain,annotator_a_obfuscation_present,annotator_b_obfuscation_present,mistral_obfuscation_present,annotator_a_requested_actions,annotator_b_requested_actions,mistral_requested_actions,final_domain,final_obfuscation_present,final_requested_actions,adjudicator_notes
phase1_02400,"Gai Xinh Toan Quoc phuc vu: 3p 69, Bu , Sex lien dit Add Zalo: 588326850 rcdgq",requested_actions,adult_service,adult_service,adult_service,False,False,False,contact_off_platform,call_phone|contact_off_platform,contact_off_platform,adult_service,False,contact_off_platform,
phase1_02405,"{DAT} M/tjen du0ng ket n0i SĂN.BAY LT ,ke ben Khu CNC, KDL, T/T0an tu 129 Tr/nen. CK 18%.T/toan 18 thang. SHR, XD ngay.LH: 0937 70 4636 / ik,Er",requested_actions,investment,investment,investment,True,True,True,call_phone,call_phone|transfer_money,call_phone,investment,True,call_phone,
phase1_02412,https://ww.facebook.com/CSKHduongdinhninh035/ Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng MVD: 1041 SĐT ĐẶT HÀNG: 0987654321,message_domain,commerce,personal_social,commerce,False,False,False,contact_off_platform,contact_off_platform,contact_off_platform,commerce,False,contact_off_platform,
phase1_02439,"anh chị hãy chuyển số tiền cần nạp vào tài khoản này ạ, sau đó chụp lại màn hình em sẽ làm lệnh nạp vào tài khoản CSI giúp anh ạ Ngân hàng thương mại cổ phần Hàng hải Việt Nam MSB STK: 04001012266596 tên chủ TK: CÔNG TY TNHH DAU TU BAT DONG SAN SSG 10:30",message_domain,investment,unknown,banking_finance,False,False,False,transfer_money,transfer_money,transfer_money|provide_personal_information,investment,False,transfer_money,
phase1_02445,"Hệ Thống Messenger Thông Báo: Xin chúc mừng tài khoản Messenger đã may mắn nhận được Giải Nhất từ sự kiện 'Tuần Lễ Vàng' tri ân khách hàng chào Quý 3, đón Năm Mới 2024. Bây giờ bạn vui lòng tiến hành truy cập vào trang địa chỉ website: TraoThuongQuy3.Com (viết liền nhau, không dấu) để đăng ký làm thủ tục hồ sơ nhận thưởng. Hoặc có thể truy cập công cụ tìm kiếm Google và gõ từ khóa: (TraoThuongQuy3.Com). Sau đó chọn kết quả tìm kiếm đầu tiên để truy cập trang website lãnh thưởng. Mọi thắc mắc xin liên hệ Tổng đài CSKH: [(08) 9921 4440]",requested_actions,other,other,marketing_promotion,False,False,True,click_or_visit_link|call_phone,click_or_visit_link|register_or_sign_up,click_or_visit_link|register_or_sign_up|call_phone,other,False,click_or_visit_link|call_phone,
phase1_02447,"Vietcombank nhan duoc yeu cau KICH HOAT LAI UNG DUNG VCB DIGIBANK. Neu Quy khach KHONG CHU DONG yeu cau, TUYET DOI KHONG CUNG CAP HOAC XAC NHAN BANG MA OTP de tranh rui ro bi CHIEM DOAT TAI 29,111,111VND luc 25-11-2022 15:26:45. SD 46,027VND. Ret",requested_actions,banking_finance,banking_finance,banking_finance,False,False,False,none,other,reply_message,banking_finance,False,none,
phase1_02450,"Chào chị. Tôi là cán bộ thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn. Sau khi đã tải app xong, chị hãy phản hồi lại tin nhắn này để chúng tôi theo dõi và hướng dẫn các bước tiếp theo. - Công chức thuế (Tên cơ quan)",message_domain,public_service,other,public_service,False,False,False,click_or_visit_link|install_application|reply_message,click_or_visit_link|reply_message|install_application,click_or_visit_link|reply_message,public_service,False,click_or_visit_link|install_application|reply_message,
phase1_02457,"Chúc mừng chị, tài khoản Shopee nguyenthuha92. Shopee xin trân trọng thông báo tài khoản Shopee của quý khách đã rất may mắn nhận được thẻ quà tặng tiền mặt trị giá 200.000.000₫ từ Quà Tặng Shopee 2022. Nhận Quà Tặng Shopee - Truy cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng để nhận tiền về tài khoản. Shopee kính gửi!",requested_actions,commerce,commerce,commerce,False,False,False,click_or_visit_link|provide_personal_information,click_or_visit_link|register_or_sign_up,click_or_visit_link|provide_personal_information,commerce,False,click_or_visit_link|provide_personal_information,
phase1_02462,"KHÁCH HÀNG CHÚ Ý: Trong trường hợp Quý khách không phản hồi hoặc không yêu cầu hủy, hệ thống sẽ mặc định xác nhận sự đồng thuận tham gia gói bảo hiểm, dựa trên quy định tại Điều 38 - Luật Giao dịch điện tử năm 2005, áp dụng hình thức xác lập hợp đồng điện tử. Mọi thông tin chi tiết, phản hồi hoặc yêu cầu hỗ trợ, vui lòng liên hệ: Email: dvkh@dbvivn.com",message_domain|requested_actions,banking_finance,other,commerce,False,False,False,reply_message,reply_message|contact_off_platform,reply_message,banking_finance,False,reply_message,
phase1_02465,"Em chào Chị Ạ, Chúc Chị Thanh Vân có một ngày tham quan nhiều gian hàng, tiếp cận nhiều công nghệ mới, để sẵn sàng bứt phá cùng TRIỂN LÃM QUỐC TẾ ĐỔI MỚI SÁNG TẠO VIỆT NAM 2024 nhé! Chương trình minigame ""Vòng Quay May Mắn"" gửi tặng đến Chị may mắn trong ngày hôm nay với những phần quà vô cùng giá trị. Ấn Quay Ngay để cùng tham gia nhé! t.me/vip",requested_actions,marketing_promotion,marketing_promotion,marketing_promotion,False,False,False,click_or_visit_link|contact_off_platform,unclear,click_or_visit_link,marketing_promotion,False,click_or_visit_link|contact_off_platform,
phase1_02470,"Bạn nhận được lời nhắn từ 0896629857 vào lúc 19:56 16/10/2022 với nội dung: chị khó khăn. Công ty Fe đã hỗ trợ cho người thân ông bà là vậy điện mình bảo: ""Năm qua anh chị vẫn trốn tránh việc trả nợ. Vài ngày tới, cán bộ pháp lý sẽ về địa phương hoàn tất thủ tục khởi kiện liên hệ công an khu vực hỗ trợ giải quyết điện bị toàn bộ khoản nợ cầu thanh toán và liên hệ số điện thoại 08964, gọi 102610 để nghe lại (Miễn phí). Chi tiết l/h 9090 (200đ/p)",requested_actions,debt_collection,debt_collection,debt_collection,False,False,False,make_payment|call_phone,call_phone|transfer_money,call_phone|reply_message,debt_collection,False,make_payment|call_phone,
phase1_02493,"Ben Em nhan lam cac loai gplx may,oto..chung minh thu,can cuoc,dang ki xe,bang cap 3 den dai hoc va tat ca giay to khac,LH 0877.607.954 giao hang thu tien",message_domain,other,marketing_promotion,commerce,False,False,False,call_phone,call_phone,call_phone,other,False,call_phone,
phase1_02496,"THE THAO THUONG 2TR3, SLOT THUONG 230K TANG 90K KHI XAC MINH TAI KHOAN NAP TIEN LAN DAU TANG NGAY 50K DKY TAI: https://t.ly/oScnl lMEtM",message_domain|requested_actions,gambling,marketing_promotion,investment,False,False,True,click_or_visit_link|deposit_or_top_up|register_or_sign_up,click_or_visit_link,click_or_visit_link|provide_personal_information,gambling,False,click_or_visit_link|deposit_or_top_up|register_or_sign_up,
phase1_02498,taq ngay 8'8'8K khi d/ky tai:bit.ly/Frw2T5 diem danh nhan 124.3K rut lien 6Rg8,message_domain|requested_actions,gambling,other,marketing_promotion,True,True,True,click_or_visit_link|deposit_or_top_up,click_or_visit_link,click_or_visit_link,gambling,True,click_or_visit_link|deposit_or_top_up,
phase1_02517,"Täng 888K, 888K! 888K Nhän ngay 88K MPhi, tu: gv2xu.cc/WlhXzU ~u9pa",message_domain|obfuscation_present,gambling,other,gambling,True,False,False,click_or_visit_link,click_or_visit_link,click_or_visit_link,gambling,True,click_or_visit_link,
phase1_02548,"[Thông báo] Hội thảo trực tuyến ""Không trúng tuyển nguyện vọng yêu thích? Biến nguy thành cơ"" với sự tham gia của các khách mời, chuyên gia tâm lý đến từ nhiều trường đại học đang diễn ra. Để không bỏ lỡ cơ hội được tham dự, lắng nghe và đặt câu hỏi trực tiếp cho các chuyên gia, mời quý phụ huynh & thí sinh truy cập liên kết: https://us02web.zoom.us/j/81558445815. Hotline: (028) 7300 5588",requested_actions,other,other,employment,False,False,False,click_or_visit_link|call_phone,click_or_visit_link,click_or_visit_link,other,False,click_or_visit_link|call_phone,
phase1_03051,"Cuoi tuan nay ranh ko Thắng? Qua nha toi choi, moi mua dc may chai ruou ngon.",requested_actions,personal_social,personal_social,personal_social,False,False,False,none,visit_physical_location,visit_physical_location,personal_social,False,none,
phase1_03210,MoMo: Mung sinh nhat! Quy khach nhan ngay 1 luot quay trung qua 100% tai chuong trinh Sinh Nhat Vang tren MoMo. Han dung 30/11/2025. Choi ngay tai momo.vn. Tu choi QC: TC gui 8788.,requested_actions,banking_finance,banking_finance,marketing_promotion,False,False,False,click_or_visit_link|reply_message,click_or_visit_link,click_or_visit_link,banking_finance,False,click_or_visit_link|reply_message,
phase1_03472,Lotteria: Ban co 1 tin nhan qua tang! Moi ban be tai app nhan ngay voucher giam 30% cho combo Ga Ran. Han den 31/10/2026. lotteria.vn,message_domain|requested_actions,commerce,marketing_promotion,marketing_promotion,False,False,False,install_application|click_or_visit_link,none,click_or_visit_link,commerce,False,install_application|click_or_visit_link,
phase1_03511,928471 la ma xac minh Shopee cua ban. Ma co hieu luc trong 5 phut.,message_domain,commerce,other,commerce,False,False,False,none,none,provide_personal_information,commerce,False,none,
phase1_04082,"Lazada: Ma xac minh dang nhap tren thiet bi moi la 441029. KHONG chia se ma nay voi bat ky ai, ke ca Lazada.",message_domain,commerce,other,commerce,False,False,False,none,none,none,commerce,False,none,
phase1_04289,Tiki: Don hang TKI-5544332211 cua Quy khach da dat thanh cong. Quy khach vui long theo doi hanh trinh don hang tai https://tiki.vn/track/TKI5544332211,message_domain,commerce,other,commerce,False,False,False,click_or_visit_link,click_or_visit_link,click_or_visit_link,commerce,False,click_or_visit_link,
phase1_04346,"Bách hóa xanh: Mời bạn đi chợ online, nhận ngay voucher giảm 20% cho đơn hàng thực phẩm tươi sống đầu tiên từ 200.000đ. Áp dụng qua App đến 31/08/2025. Xem tại bachhoaxanh.com.",message_domain|requested_actions,commerce,marketing_promotion,commerce,False,False,False,click_or_visit_link|install_application,other,click_or_visit_link,commerce,False,click_or_visit_link|install_application,
phase1_04730,"WinMart: Duy nhat thu Tu, Quy khach mua thit sach MEATDeli duoc giam 20% tren hoa don. Uu dai ap dung tai he thong den 25/06/2025. Hotline ho tro: 19006968.",requested_actions,commerce,commerce,commerce,False,False,False,call_phone,none,click_or_visit_link,commerce,False,call_phone,
phase1_05015,Shopee: Don hang #240315QWERTYU cua ban da dat thanh cong. Du kien giao hang tu 17/03 den 19/03. Cam on ban da mua sam.,message_domain,commerce,logistics,commerce,False,False,False,none,none,none,commerce,False,none,
phase1_05063,[TB] Viettel tang 50% luu luong data cho cac goi cuoc ST khi dang ky qua Viettel Money. Chi tiet xem tai app Viettel Money.,requested_actions,telecom,telecom,telecom,False,False,False,install_application,other,click_or_visit_link,telecom,False,install_application,
phase1_05152,Hom nay nghi lam di cf ko ong?,requested_actions,personal_social,personal_social,personal_social,False,False,False,none,visit_physical_location,none,personal_social,False,none,
phase1_05372,GHN: Van don SHNR112233445 giao khong thanh cong lan 2. Lien he giao vien 0908123123.,requested_actions,logistics,logistics,logistics,False,False,False,call_phone,none,call_phone,logistics,False,call_phone,
phase1_05375,[GHN] Shipper se den lay hang GHNR5566443322 luc 14:00. Vui long chuan bi kien hang. San sang tai ghn.vn,message_domain|requested_actions,logistics,other,logistics,False,False,False,other,click_or_visit_link,none,logistics,False,other,
phase1_05796,[!] Bảo hiểm xã hội Nghị quyết 116: Bạn đã đủ Điều Kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Nhận tại www.yuiop.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,message_domain,public_service,logistics,public_service,False,False,False,click_or_visit_link,click_or_visit_link,click_or_visit_link,public_service,False,click_or_visit_link,
phase1_06255,CANH BAO LAN CUOI!!! Phòng AN NINH ĐIỀU TRA yêu cầu Ông/Bà phối hợp cung cấp lời khai về khoản vay bất thường. Hạn chót trước 17g hôm nay. Mọi sự chậm trễ sẽ bị coi là chống đối người thi hành công vụ. LH: 84900112233.,message_domain|requested_actions,public_service,debt_collection,public_service,False,False,False,call_phone,reply_message,call_phone|provide_personal_information,public_service,False,call_phone,
phase1_06441,B4n m-u-0-n nh4n l-u-0ng 500k n-g-4-y kh0ng? Ch1 c4n 10 n-h-1-3-m v-u T3l3gr4m. B4m: t.me/nhiemvu_easy,requested_actions,employment,employment,marketing_promotion,True,True,True,click_or_visit_link|contact_off_platform,click_or_visit_link,click_or_visit_link,employment,True,click_or_visit_link|contact_off_platform,
phase1_07286,"TB KHAN: Yeu cau Ong Nguyen Hoang Nam CMND: 025847361 thanh toan khoan no 15,243,000VND cho Cong ty Tai chinh FE truoc 16H Ngay 25/05. Neu tiep tuc tron tranh, chung toi se Cong Khai HINH ANH va THONG TIN len mang xa hoi va gui thong bao ve dia phuong. LH: 0912837465.",requested_actions,debt_collection,debt_collection,debt_collection,False,False,False,make_payment|call_phone,call_phone|transfer_money,make_payment|contact_off_platform,debt_collection,False,make_payment|call_phone,
phase1_07289,"TB KHAN: Mcredit thong bao den Ong Vo Van Thanh CMND: 241536782. Khoan vay 11,482,000VND da qua han. Yeu cau thanh toan truoc 16H Ngay 28/05. Bat hop tac se Cong Khai HINH ANH va THONG TIN len mang xa hoi va lam viec voi co quan chuc nang. SDT lien he: 0812345678.",requested_actions,debt_collection,debt_collection,debt_collection,False,False,False,make_payment|call_phone,call_phone|transfer_money,make_payment|contact_off_platform,debt_collection,False,make_payment|call_phone,
phase1_07291,"[CANH CAO LAN CUOI]: Mirae Asset thong bao Ong Tran Van Hung CMND: 184756293 co khoan no 32,847,500VND. Yeu cau thanh toan truoc 17g hom nay. Qua thoi han tren, chung toi se gui ho so ve Cong an PC02 va thong bao den co quan lam viec cua Ong. Hotline: 0388223344.",requested_actions,debt_collection,debt_collection,debt_collection,False,False,False,make_payment|call_phone,call_phone|transfer_money,make_payment|contact_off_platform,debt_collection,False,make_payment|call_phone,
phase1_07292,"TB KHAN: Phong An ninh Dieu tra thong bao Ong Hoang Kieu Anh CMND: 272635418 vi pham hop dong tin dung voi so tien 19,453,000VND. Yeu cau thanh toan truoc 16H Ngay 30/05. Neu khong se tien hanh truy to toi chiem doat tai san. Lien he: 0944556677.",message_domain|requested_actions,debt_collection,public_service,debt_collection,False,False,False,make_payment|call_phone,call_phone|transfer_money,make_payment|contact_off_platform,debt_collection,False,make_payment|call_phone,
phase1_07294,"[CANH CAO LAN CUOI]: Ong Ly Hai Nam CMND: 024857361 co khoan vay 4,125,500VND tai Mcredit da qua han. Yeu cau thanh toan trong 24H nua. Neu khong chung toi se thong bao nguoi than gia dinh va thuc hien bien phap cuong che tai san. SDT: 0977889900.",requested_actions,debt_collection,debt_collection,debt_collection,False,False,False,make_payment|call_phone,transfer_money,make_payment|contact_off_platform,debt_collection,False,make_payment|call_phone,
phase1_07331,"CANH BAO LAN CUOI!!! Đối tượng Lê Văn Tám CMND: 191827364 cố tình né tránh khoản nợ 7,341,000VND tại HD Saison. Chúng tôi sẽ thông báo đến nơi làm việc và chính quyền địa phương nếu không trả trước 24H nữa. LH: 0912384756.",message_domain|requested_actions,debt_collection,other,debt_collection,False,False,False,make_payment|call_phone,other,call_phone,debt_collection,False,make_payment|call_phone,
phase1_07568,[CANH CAO LAN CUOI]: Co quan chuc nang dang thu ly ho so vi pham cua Ong/Ba. Yeu cau phai giai quyet nghia vu tai chinh trong vong 24H. Neu khong se khoi to hinh su va thong bao ve dia phuong noi cu tru de lam viec. LH: 84900112233.,requested_actions,public_service,public_service,public_service,False,False,False,call_phone|make_payment,call_phone,call_phone,public_service,False,call_phone|make_payment,
phase1_07779,"H.N;Z,a.l,0""v;1:P;G,@!_x:1,n,h_m;0,1: t.ly/hn_pg_club Zx4C",requested_actions,adult_service,adult_service,marketing_promotion,True,True,True,contact_off_platform|click_or_visit_link,click_or_visit_link,click_or_visit_link,adult_service,True,contact_off_platform|click_or_visit_link,
phase1_08235,HN – Zalo: HN_Zalo: Tim_ban_gai_tam_su_dem_khuya. zalo.me/g/hn_tam_su. zX1c,obfuscation_present,adult_service,adult_service,personal_social,False,True,False,contact_off_platform|click_or_visit_link,click_or_visit_link|contact_off_platform,click_or_visit_link,adult_service,False,contact_off_platform|click_or_visit_link,
phase1_08267,HCM-Telegram: S-u-g-a-r-b-a-b-y-H-C-M-c-a-n-t-i-m-d-a-d-d-y-c-h-u-d-a-o. T-e-l-e: t.me/hcm_sugar_baby uI1o,obfuscation_present,adult_service,adult_service,marketing_promotion,True,False,True,contact_off_platform|click_or_visit_link,click_or_visit_link|contact_off_platform,click_or_visit_link,adult_service,True,contact_off_platform|click_or_visit_link,
phase1_08420,H;C_M-E:m;s_I_n:H_v;I_e:N:c_U_t_E. HCM – Telegram: https://t.me/hcm_cute_sv rT8p,message_domain,adult_service,gambling,other,True,True,False,click_or_visit_link|contact_off_platform,click_or_visit_link|contact_off_platform,click_or_visit_link,adult_service,True,click_or_visit_link|contact_off_platform,
phase1_09069,"H;e,n:h`0: t!nH_m`0t_d`3m: v0i: eM: gA!_x!nH: HN – Zalo: bit.ly/hn_vjp_x dXz9",requested_actions,adult_service,adult_service,marketing_promotion,True,True,True,contact_off_platform|click_or_visit_link,click_or_visit_link|call_phone|contact_off_platform,click_or_visit_link,adult_service,True,contact_off_platform|click_or_visit_link,
phase1_09121,D4U-TU_SMART_1tr-th4nh-10tr^nhanh-ch0ng. Chuy3n_kho4n_n4p-v0n_STK_007100123456_VCB_CONG_TY_XNK_GREEN. G140_v1en_huong-dan_1-1.,obfuscation_present|requested_actions,investment,investment,banking_finance,True,False,True,transfer_money|contact_off_platform,transfer_money,provide_personal_information,investment,True,transfer_money|contact_off_platform,
phase1_09215,Cuc Vien thong: Thue b4o cwa ban se bi thu hoi. Lien he 0345678901,message_domain,telecom,public_service,public_service,True,True,False,call_phone,call_phone,call_phone,telecom,True,call_phone,
phase1_09636,B-o-d-y c-h-u-a-n e-m d-a-n-g o H-N Z-a-l-o k-e-t b-a-n: https://bit.ly/hn_body_chuan kI1u,message_domain,adult_service,other,other,True,True,False,contact_off_platform|click_or_visit_link,click_or_visit_link|contact_off_platform,click_or_visit_link,adult_service,True,contact_off_platform|click_or_visit_link,
