item_order,reviewer_id,taxonomy_version,field,value,decision,proposed_value_or_target,comment
28,reviewer_a,2.1.0-rc2,text_phenomena,homoglyph,merge,character_substitution,đều là thay ký tự
29,reviewer_a,2.1.0-rc2,text_phenomena,irregular_spacing,accept,,
30,reviewer_a,2.1.0-rc2,text_phenomena,irregular_casing,accept,,
31,reviewer_a,2.1.0-rc2,text_phenomena,character_repetition,accept,,
32,reviewer_a,2.1.0-rc2,text_phenomena,unicode_noise,remove,,khó nhận biệt bởi annotator
33,reviewer_a,2.1.0-rc2,text_phenomena,code_switching,,,
34,reviewer_a,2.1.0-rc2,text_phenomena,natural_typo,accept,,lỗi chính tả thông thường
35,reviewer_a,2.1.0-rc2,obfuscation_techniques,leetspeak,merge,character_substitution,gộp chung
36,reviewer_a,2.1.0-rc2,obfuscation_techniques,character_substitution,accept,,
37,reviewer_a,2.1.0-rc2,obfuscation_techniques,punctuation_insertion,accept,,
38,reviewer_a,2.1.0-rc2,obfuscation_techniques,token_splitting,rename,whitespace_splitting,tách 1 từ thành nhiều nhỏ lẻ bằng khoảng trắng
39,reviewer_a,2.1.0-rc2,obfuscation_techniques,token_joining,rename,word_concatenation,nối ghép từ bằng cách xoá khoảng trắng giữa từ
40,reviewer_a,2.1.0-rc2,obfuscation_techniques,homoglyph,merge,character_substitution,gộp chung
41,reviewer_a,2.1.0-rc2,obfuscation_techniques,irregular_spacing,accept,,
42,reviewer_a,2.1.0-rc2,obfuscation_techniques,irregular_casing,accept,,
43,reviewer_a,2.1.0-rc2,obfuscation_techniques,character_repetition,accept,,
44,reviewer_a,2.1.0-rc2,obfuscation_techniques,unicode_noise,remove,,
45,reviewer_a,2.1.0-rc2,persuasion_tactics,impersonation,accept,,
46,reviewer_a,2.1.0-rc2,persuasion_tactics,urgency,accept,,
47,reviewer_a,2.1.0-rc2,persuasion_tactics,fear,accept,,
48,reviewer_a,2.1.0-rc2,persuasion_tactics,authority,accept,,
49,reviewer_a,2.1.0-rc2,persuasion_tactics,reward_incentive,accept,,
50,reviewer_a,2.1.0-rc2,persuasion_tactics,social_proof,accept,,
51,reviewer_a,2.1.0-rc2,persuasion_tactics,scarcity,accept,,
52,reviewer_a,2.1.0-rc2,persuasion_tactics,threat,accept,,
53,reviewer_a,2.1.0-rc2,persuasion_tactics,credential_request,accept,,
54,reviewer_a,2.1.0-rc2,persuasion_tactics,payment_request,accept,,
55,reviewer_a,2.1.0-rc2,persuasion_tactics,link_lure,accept,,
56,reviewer_a,2.1.0-rc2,persuasion_tactics,off_platform_contact,accept,,
57,reviewer_a,2.1.0-rc2,requested_actions,none,accept,,
58,reviewer_a,2.1.0-rc2,requested_actions,click_or_visit_link,accept,,
59,reviewer_a,2.1.0-rc2,requested_actions,call_phone,accept,,
60,reviewer_a,2.1.0-rc2,requested_actions,reply_message,accept,,
61,reviewer_a,2.1.0-rc2,requested_actions,provide_credentials,accept,,
62,reviewer_a,2.1.0-rc2,requested_actions,provide_personal_information,accept,,
63,reviewer_a,2.1.0-rc2,requested_actions,transfer_money,accept,,
64,reviewer_a,2.1.0-rc2,requested_actions,make_payment,accept,,
65,reviewer_a,2.1.0-rc2,requested_actions,deposit_or_top_up,accept,,
66,reviewer_a,2.1.0-rc2,requested_actions,install_application,accept,,
67,reviewer_a,2.1.0-rc2,requested_actions,contact_off_platform,accept,,
68,reviewer_a,2.1.0-rc2,requested_actions,register_or_sign_up,accept,,
69,reviewer_a,2.1.0-rc2,requested_actions,visit_physical_location,accept,,
70,reviewer_a,2.1.0-rc2,requested_actions,other,accept,,
71,reviewer_a,2.1.0-rc2,requested_actions,unclear,accept,,
72,reviewer_a,2.1.0-rc2,target_age_group,child,remove,,nhóm đối tượng quá nhỏ
73,reviewer_a,2.1.0-rc2,target_age_group,adolescent,accept,,
74,reviewer_a,2.1.0-rc2,target_age_group,young_adult,merge,adult,gom nhóm
75,reviewer_a,2.1.0-rc2,target_age_group,adult,accept,,
76,reviewer_a,2.1.0-rc2,target_age_group,older_adult,accept,,
77,reviewer_a,2.1.0-rc2,target_age_group,general,accept,,
78,reviewer_a,2.1.0-rc2,target_age_group,unknown,accept,,
79,reviewer_a,2.1.0-rc2,target_age_group,not_applicable,accept,,
80,reviewer_a,2.1.0-rc2,target_gender,female,accept,,
81,reviewer_a,2.1.0-rc2,target_gender,male,accept,,
82,reviewer_a,2.1.0-rc2,target_gender,all,accept,,
83,reviewer_a,2.1.0-rc2,target_gender,unknown,accept,,
84,reviewer_a,2.1.0-rc2,target_gender,not_applicable,accept,,
85,reviewer_a,2.1.0-rc2,target_roles,student,accept,,
86,reviewer_a,2.1.0-rc2,target_roles,job_seeker,accept,,
87,reviewer_a,2.1.0-rc2,target_roles,employee,rename,employee_or_worker,gom nhóm
88,reviewer_a,2.1.0-rc2,target_roles,worker,merge,employee_or_worker,gom nhóm
89,reviewer_a,2.1.0-rc2,target_roles,business_owner,accept,,
90,reviewer_a,2.1.0-rc2,target_roles,customer,accept,,
91,reviewer_a,2.1.0-rc2,target_roles,account_holder,merge,customer,account_holder là customer của bank/finance domain
92,reviewer_a,2.1.0-rc2,target_roles,debtor,accept,,
93,reviewer_a,2.1.0-rc2,target_roles,investor,accept,,
94,reviewer_a,2.1.0-rc2,target_roles,taxpayer,merge,general_public,gom nhóm
95,reviewer_a,2.1.0-rc2,target_roles,benefit_recipient,merge,general_public,gom nhóm
96,reviewer_a,2.1.0-rc2,target_roles,patient,accept,,
97,reviewer_a,2.1.0-rc2,target_roles,vehicle_owner,accept,,
98,reviewer_a,2.1.0-rc2,target_roles,shopper,merge,customer,gom nhóm
99,reviewer_a,2.1.0-rc2,target_roles,retired_person,merge,general_public,gom nhóm
100,reviewer_a,2.1.0-rc2,target_roles,general_public,accept,,
101,reviewer_a,2.1.0-rc2,target_roles,other,accept,,
102,reviewer_a,2.1.0-rc2,target_roles,unknown,accept,,
103,reviewer_a,2.1.0-rc2,target_roles,not_applicable,accept,,
