review_key,sample_id,decision,review_note,reviewed_at,source_dataset,source_file,source_row_id,content,normalized,hard_case_type,flags,filter_reason,reject_reason
vilexnorm|data/external/vilexnorm/raw/train.csv|167|chữa lành đâu ko thí chứ thấy tiệt dọng cmnr,vilexnorm_hardneg_00017,accept,,2026-05-21T03:11:42+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,167,chữa lành đâu ko thí chứ thấy tiệt dọng cmnr,chữa lành đâu không thấy chứ thấy tuyệt vọng cmnr,sensitive_review,has_sensitive_review_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|174|10đ mà để str nổi bựt pik mik dzai,vilexnorm_hardneg_00018,reject,,2026-05-21T03:12:29+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,174,10đ mà để str nổi bựt pik mik dzai,10đ mà để str nổi bực biết mình đẹp trai,money_like,has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|184|Mặt kiểu phán xét vỡiiii,vilexnorm_hardneg_00019,accept,,2026-05-21T03:12:41+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,184,Mặt kiểu phán xét vỡiiii,Mặt kiểu phán xét vãi,sensitive_review,has_sensitive_review_keyword;has_slang,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|193|Thế ck t lương 5tr nuôi 2 đứa con đây,vilexnorm_hardneg_00020,accept,,2026-05-21T03:12:43+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,193,Thế ck t lương 5tr nuôi 2 đứa con đây,Thế chồng tôi lương 5tr nuôi 2 đứa con đây,money_like,has_abbreviation;has_money_amount;has_money_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|201|Thi HK đã là gì, thi ĐH trắc nghiệm t còn khoanh lụi đc mà :>>",vilexnorm_hardneg_00021,accept,,2026-05-21T03:12:53+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,201,"Thi HK đã là gì, thi ĐH trắc nghiệm t còn khoanh lụi đc mà :>>","Thi HK đã là gì, thi ĐH trắc nghiệm tôi còn khoanh lụi được mà :>>",warning_like,has_abbreviation;has_teencode;has_warning_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|202|Ngu đến thế là cùng đã đell có tiền rồi còn báo tưởng i tù là hết,vilexnorm_hardneg_00022,accept,,2026-05-21T03:12:57+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,202,Ngu đến thế là cùng đã đell có tiền rồi còn báo tưởng i tù là hết,Ngu đến thế là cùng đã đéo có tiền rồi còn báo tưởng đi tù là hết,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|205|vô duyên vc ra còn cfs ccj nữa v cô nương?,vilexnorm_hardneg_00023,reject,,2026-05-21T03:13:06+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,205,vô duyên vc ra còn cfs ccj nữa v cô nương?,vô duyên vc ra còn cfs ccj nữa vậy cô nương?,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|207|Nhìn thấy khách nợ 1 năm rồi ngại k dám ngẩng mặt lên,vilexnorm_hardneg_00024,accept,,2026-05-21T03:13:14+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,207,Nhìn thấy khách nợ 1 năm rồi ngại k dám ngẩng mặt lên,Nhìn thấy khách nợ 1 năm rồi ngại không dám ngẩng mặt lên,finance_like,has_finance_keyword;has_teencode,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|212|Lúc về sau tra điểm, điểm tiếng anh mình có 1,25 đ ( vì mình đâu biết tiếng anh đâu)",vilexnorm_hardneg_00025,accept,,2026-05-21T03:13:19+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,212,"Lúc về sau tra điểm, điểm tiếng anh mình có 1,25 đ ( vì mình đâu biết tiếng anh đâu)","Lúc về sau tra điểm, điểm tiếng anh mình có 1,25 điểm ( vì mình đâu biết tiếng anh đâu)",money_like,has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|213|Mh hướng ngoaih nhưng k giám đòi nợ thật,vilexnorm_hardneg_00026,accept,,2026-05-21T03:13:26+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,213,Mh hướng ngoaih nhưng k giám đòi nợ thật,Mình hướng ngoại nhưng không dám đòi nợ thật,finance_like,has_finance_keyword;has_teencode,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|218|Mê Ngô Thiến, bà trẻ vaii",vilexnorm_hardneg_00027,reject,,2026-05-21T03:13:34+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,218,"Mê Ngô Thiến, bà trẻ vaii","Mê Ngô Thiến, bà trẻ vãi",sensitive_review,has_sensitive_review_keyword;has_slang,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|229|2 vợ chồng tổng lương dc 10tr,vilexnorm_hardneg_00028,accept,,2026-05-21T03:13:37+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,229,2 vợ chồng tổng lương dc 10tr,2 vợ chồng tổng lương được 10tr,money_like,has_abbreviation;has_money_amount;has_money_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|262|Ck nước mình chịu thương chịu khó thì đéo chịu lấy,vilexnorm_hardneg_00029,accept,,2026-05-21T03:13:45+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,262,Ck nước mình chịu thương chịu khó thì đéo chịu lấy,Chồng nước mình chịu thương chịu khó thì đéo chịu lấy,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|264|Vì tiểu học cô doạ bno sợ đái ra quần r, chứ sang trung học lá khéo k còn",vilexnorm_hardneg_00030,accept,,2026-05-21T03:13:51+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,264,"Vì tiểu học cô doạ bno sợ đái ra quần r, chứ sang trung học lá khéo k còn","Vì tiểu học cô dọa bọn nó sợ đái ra quần rồi, chứ sang trung học lá khéo không còn",finance_like,has_finance_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|300|muốn đan như z mà đan được ra như z hay khum thì khum có bécc,vilexnorm_hardneg_00031,accept,,2026-05-21T03:13:55+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,300,muốn đan như z mà đan được ra như z hay khum thì khum có bécc,muốn đan như vậy mà đan được ra như vậy hay không thì không có biết,sensitive_review,has_abbreviation;has_sensitive_review_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|301|đề nghị sốp tuyển 1 ezai trẻ đẹp chuyên gội đầu pvu các ce nhớ,vilexnorm_hardneg_00032,accept,,2026-05-21T03:14:03+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,301,đề nghị sốp tuyển 1 ezai trẻ đẹp chuyên gội đầu pvu các ce nhớ,đề nghị sốp tuyển 1 em trai trẻ đẹp chuyên gội đầu phục vụ các ce nhớ,job_like,has_job_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|318|ngoài đường có pải nơi chăn thả súc vật đéo đâu :)),vilexnorm_hardneg_00033,accept,,2026-05-21T03:14:18+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,318,ngoài đường có pải nơi chăn thả súc vật đéo đâu :)),ngoài đường có phải nơi chăn thả súc vật đéo đâu :)),sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|333|Ngày xưa xem chương trình khoa học trên ti vi có ông gì chế ra cái bột gì từ lợn ý rắc vào phần bị đứt đầu ngón tay sau mấy tháng nó mọc lại đc, nhưng mà nó cứng và không bt như ngón tay gốc",vilexnorm_hardneg_00034,reject,,2026-05-21T03:14:27+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,333,"Ngày xưa xem chương trình khoa học trên ti vi có ông gì chế ra cái bột gì từ lợn ý rắc vào phần bị đứt đầu ngón tay sau mấy tháng nó mọc lại đc, nhưng mà nó cứng và không bt như ngón tay gốc","Ngày xưa xem chương trình khoa học trên ti vi có ông gì chế ra cái bột gì từ lợn ý rắc vào phần bị đứt đầu ngón tay sau mấy tháng nó mọc lại được, nhưng mà nó cứng và không bình thường như ngón tay gốc",warning_like,has_abbreviation;has_warning_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|346|hỏi bảo h em còn mỗi tiền trong tk nma anh phụ xe dễ huông bảo th anh cho m,vilexnorm_hardneg_00035,accept,,2026-05-21T03:14:41+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,346,hỏi bảo h em còn mỗi tiền trong tk nma anh phụ xe dễ huông bảo th anh cho m,hỏi bảo giờ em còn mỗi tiền trong tài khoản nhưng mà anh phụ xe dễ thương bảo thôi anh cho mày,finance_like,has_abbreviation;has_finance_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|361|Đéo bù thằng bạn mình  , cả đời m có giày đi tán gái đéo đâu",vilexnorm_hardneg_00036,accept,,2026-05-21T03:14:46+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,361,"Đéo bù thằng bạn mình  , cả đời m có giày đi tán gái đéo đâu","Đéo bù thằng bạn mình  , cả đời mình có giày đi tán gái đéo đâu",sensitive_review,has_abbreviation;has_sensitive_review_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|374|cứ chọn lấy phòng dịch vụ k bảo hiểm trong vinmec mà nằm lấy đôi tháng cho chừa cmnđ,vilexnorm_hardneg_00037,accept,,2026-05-21T03:14:48+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,374,cứ chọn lấy phòng dịch vụ k bảo hiểm trong vinmec mà nằm lấy đôi tháng cho chừa cmnđ,cứ chọn lấy phòng dịch vụ không bảo hiểm trong vinmec mà nằm lấy đôi tháng cho chừa cmnđ,sensitive_review,has_sensitive_review_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|375|m lm đc v thì cho 10 đ,vilexnorm_hardneg_00038,accept,,2026-05-21T03:14:57+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,375,m lm đc v thì cho 10 đ,mày làm được vậy thì cho 10 điểm,money_like,has_abbreviation;has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|381|làm đ gì cũng phải nghe hết bt chưa,vilexnorm_hardneg_00039,reject,,2026-05-21T03:15:55+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,381,làm đ gì cũng phải nghe hết bt chưa,làm đéo gì cũng phải nghe hết biết chưa,sensitive_review,has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|432|10tr thì đủ tiêu thôi chứ có việc gì thì khóc thét, chính vì nghĩ đến tương lai nhiều cái phải lo lắng mà vẫn chấp nhận dừng ở 10tr mới bị ng khác cho là an phận đấy",vilexnorm_hardneg_00040,accept,,2026-05-21T03:16:02+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,432,"10tr thì đủ tiêu thôi chứ có việc gì thì khóc thét, chính vì nghĩ đến tương lai nhiều cái phải lo lắng mà vẫn chấp nhận dừng ở 10tr mới bị ng khác cho là an phận đấy","10tr thì đủ tiêu thôi chứ có việc gì thì khóc thét, chính vì nghĩ đến tương lai nhiều cái phải lo lắng mà vẫn chấp nhận dừng ở 10tr mới bị người khác cho là an phận đấy",money_like,has_abbreviation;has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|443|Cho mình hỏi ngoài bài viết trên báo chí với trang tin ra thì đọc tin công bố của Gucci ở đâu vậynhir?,vilexnorm_hardneg_00041,reject,,2026-05-21T03:16:10+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,443,Cho mình hỏi ngoài bài viết trên báo chí với trang tin ra thì đọc tin công bố của Gucci ở đâu vậynhir?,Cho mình hỏi ngoài bài viết trên báo chí với trang tin ra thì đọc tin công bố của Gucci ở đâu vậy nhỉ?,sensitive_review,has_sensitive_review_keyword;has_slang,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|450|Ăn lương Nhà nước thì chỉ thế thôi chứ ai mà k muốn nhiều tiền,vilexnorm_hardneg_00042,accept,,2026-05-21T03:16:13+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,450,Ăn lương Nhà nước thì chỉ thế thôi chứ ai mà k muốn nhiều tiền,Ăn lương Nhà nước thì chỉ thế thôi chứ ai mà không muốn nhiều tiền,money_like,has_money_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|457|10tr về quê lấy vk,vilexnorm_hardneg_00043,accept,,2026-05-21T03:16:16+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,457,10tr về quê lấy vk,10tr về quê lấy vợ,money_like,has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|471|10tr thì vẫn đủ sống mỗi tháng 2vkck và 1 con,vilexnorm_hardneg_00044,accept,,2026-05-21T03:16:19+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,471,10tr thì vẫn đủ sống mỗi tháng 2vkck và 1 con,10tr thì vẫn đủ sống mỗi tháng 2 vợ chồng và 1 con,money_like,has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|493|Đ tặng quà bày đặt văn vở chi z,vilexnorm_hardneg_00045,accept,,2026-05-21T03:16:26+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,493,Đ tặng quà bày đặt văn vở chi z,Đéo tặng quà bày đặt văn vở chi vậy,sensitive_review,has_dialectal_variant;has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|502|a công an đợt này về chắc được lên hột trước hạn rồi,quả upgrade hơi nhuốm màu bột ớt nhưng rất ấn tượng, good job !!!",vilexnorm_hardneg_00046,accept,,2026-05-21T03:16:28+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,502,"a công an đợt này về chắc được lên hột trước hạn rồi,quả upgrade hơi nhuốm màu bột ớt nhưng rất ấn tượng, good job !!!","anh công an đợt này về chắc được lên hột trước hạn rồi,quả upgrade hơi nhuốm màu bột ớt nhưng rất ấn tượng, good job !!!",authority_like,has_abbreviation;has_authority_keyword,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|508|t cũng ko ăn dc mỡ nhưng thay vì có hành vi thiếu tinh tế như b t sẽ chọn đ ăn nữa,vilexnorm_hardneg_00047,reject,,2026-05-21T03:16:39+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,508,t cũng ko ăn dc mỡ nhưng thay vì có hành vi thiếu tinh tế như b t sẽ chọn đ ăn nữa,tôi cũng không ăn được mỡ nhưng thay vì có hành vi thiếu tinh tế như bạn tôi sẽ chọn đéo ăn nữa,sensitive_review,has_abbreviation;has_sensitive_review_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|510|để tuôi xin mẹ 5 trịu để xún thăm bạn nha,vilexnorm_hardneg_00048,accept,,2026-05-21T03:16:41+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,510,để tuôi xin mẹ 5 trịu để xún thăm bạn nha,để tôi xin mẹ 5 triệu để xuống thăm bạn nha,money_like,has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|512|Bi quan thế t lương có 3tr vẫn lấy vk đẻ con bình đây thôi,vilexnorm_hardneg_00049,accept,,2026-05-21T03:16:44+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,512,Bi quan thế t lương có 3tr vẫn lấy vk đẻ con bình đây thôi,Bi quan thế tôi lương có 3tr vẫn lấy vợ đẻ con bình đây thôi,money_like,has_abbreviation;has_money_amount;has_money_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|553|2vc, 3 đứa con, cp mỗi tháng tầm 30-40tr",vilexnorm_hardneg_00050,accept,,2026-05-21T03:16:46+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,553,"2vc, 3 đứa con, cp mỗi tháng tầm 30-40tr","2 vợ chồng, 3 đứa con, chi phí mỗi tháng tầm 30-40tr",money_like,has_dialectal_variant;has_money_amount,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|569|Năm 19 tuổi t vẫn đi bưng bê 16k/1h, đêm về chạy grab kiếm vài tỷ tiêu chơi",vilexnorm_hardneg_00051,accept,,2026-05-21T03:16:48+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,569,"Năm 19 tuổi t vẫn đi bưng bê 16k/1h, đêm về chạy grab kiếm vài tỷ tiêu chơi","Năm 19 tuổi tôi vẫn đi bưng bê 16k/1h, đêm về chạy grab kiếm vài tỷ tiêu chơi",money_like,has_abbreviation;has_money_amount,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|571|Bạn còn tuyển em dâu ko em giai bạn ngon quáaaaa,vilexnorm_hardneg_00052,accept,,2026-05-21T03:16:50+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,571,Bạn còn tuyển em dâu ko em giai bạn ngon quáaaaa,bạn còn tuyển em dâu không em trai bạn ngon quá,job_like,has_job_keyword;has_teencode,risk_surface_without_strong_reject,
vilexnorm|data/external/vilexnorm/raw/train.csv|576|May quá lương 5 tr,vilexnorm_hardneg_00053,accept,,2026-05-21T03:16:52+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,576,May quá lương 5 tr,May quá lương 5 triệu,money_like,has_money_amount;has_money_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|577|giận cc, có vay thì phải có trả",vilexnorm_hardneg_00054,accept,,2026-05-21T03:16:54+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,577,"giận cc, có vay thì phải có trả","giận con cặc, có vay thì phải có trả",finance_like;sensitive_review,has_finance_keyword;has_sensitive_review_keyword,risk_surface_without_strong_reject,
"vilexnorm|data/external/vilexnorm/raw/train.csv|592|Mình cũng thấy hành động đấy nó ghê vch ý, đũa ăn lấy khuấy vào cả bát thịt xong ai dám ăn",vilexnorm_hardneg_00055,accept,,2026-05-21T03:17:00+00:00,vilexnorm,data/external/vilexnorm/raw/train.csv,592,"Mình cũng thấy hành động đấy nó ghê vch ý, đũa ăn lấy khuấy vào cả bát thịt xong ai dám ăn","Mình cũng thấy hành động đấy nó ghê vãi chưỡng ý, đũa ăn lấy khuấy vào cả bát thịt xong ai dám ăn",sensitive_review,has_sensitive_review_keyword;has_slang,risk_surface_without_strong_reject,
