sample_id,content,message_domain,text_phenomena,text_noise_score,target_age_groups,target_gender,target_roles,target_evidence,obfuscation_present,obfuscation_techniques,obfuscation_severity,obfuscation_confidence,persuasion_tactics,requested_actions,requested_action_evidence,review_flags,confidence_message_domain,confidence_surface_features,confidence_target_audience,confidence_obfuscation,confidence_persuasion_tactics,confidence_requested_actions
phase1_00070,Mã xác thực GitHub của bạn là: 733792,other,,0,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01414,Sử dụng mã xác minh 074736 để xác thực Microsoft.,other,,0,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01944,G-350601 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai.,other,,0,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01976,G-072018 là mã xác minh Google của bạn. Đừng chia sẻ với bất kỳ ai.,other,,0,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00718,Ok e .Đem luôn ao sưa dum c nha,personal_social,diacritic_omission|teencode|irregular_casing,2,general,all,general_public,,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02302,Goi cuoc D159V (159000d) cua Quy khach se duoc gia han chu ky tiep theo vao ngay 04/01/2025. QK vui long nap tien tai: https://vnptpay.vn/bill/ va duy tri so du TKC toi thieu 159000d de duoc gia han tu dong va huong uu dai goi. Tran trong cam on. Chi tiet lien he 18001091,telecom,,0,general,all,customer,Quy khach,false,,0,1.0,reward_incentive,click_or_visit_link|make_payment,nap tien tai: https://vnptpay.vn/bill/ || duy tri so du TKC toi thieu 159000d,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01146,"[QC] Quy khach co 5700 diem tieu dung Viettel++ tinh den het ngay 02/08/2020. Bam goi *098# hoac truy cap ung dung MyViettel tai https://viettel.vn/app (muc Viettel++) de doi diem thanh Data, phut goi, SMS hoac cac uu dai gia tri khac. LH 198 (0d). Tu choi QC, soan HUY gui 9000.",telecom,abbreviation|punctuation_insertion,1,general,all,customer,Quy khach,false,,0,1.0,reward_incentive,click_or_visit_link|call_phone|reply_message,"Bam goi *098# hoac truy cap ung dung MyViettel tai https://viettel.vn/app || LH 198 (0d) || Tu choi QC, soan HUY gui 9000",,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01928,"[QC] DATA LƯỚT MẠNG CẢ NGÀY. Soạn GIC70N gửi 191: Chỉ 70K/30 ngày, có 1GB/ngày, nghe toàn bộ nội dung sách nói Mydio. DV gia hạn sau 30 ngày.  Lưu ý: CT dành riêng cho thuê bao từ 6-22 tuổi đang sử dụng gói cước GIC của Viettel. Để chuyển đổi sang gói cước GIC, soạn GIC gửi 195. LH 198 (0đ). Từ chối QC, soạn TC4 gửi 199.",telecom,diacritic_omission|abbreviation,1,adolescent|adult,all,customer,thuê bao từ 6-22 tuổi,false,,0,1.0,reward_incentive,reply_message|click_or_visit_link,Soạn GIC70N gửi 191 || soạn GIC gửi 195 || LH 198 (0đ) || soạn TC4 gửi 199,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00284,"[TB] Mừng VIETTEL 35 năm - ra mắt gói cước với tính năng mới: Chỉ với 35.000đ/7 ngày, Quý khách có thể lựa chọn truy cập data, gọi điện theo nhu cầu, đặc biệt tặng thêm dịch vụ TV360 hoặc Mydio. Truy cập ứng dụng My Viettel tại https://viettel.vn/diy để trải nghiệm. LH 198 (0đ).",telecom,abbreviation,0,general,all,customer,Quý khách,false,,0,1.0,reward_incentive,click_or_visit_link|call_phone,Truy cập ứng dụng My Viettel tại https://viettel.vn/diy || LH 198 (0đ),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00211,"Quy khach co 14.985 dong trong tai khoan. Bam goi *098*3# de co 3GB voi 15.000d/3 ngay hoac *098*989# (30.000d/3 ngay) co 15GB (5GB/ngay), mien phi 10 phut/cuoc noi mang, 15 phut ngoai mang, SMS noi mang va TV360. Goi cuoc gia han khi het chu ky. De biet thong tin cac uu dai khac, bam goi *098# hoac truy cap My Viettel tai https://myvt.page.link/goidata . Chi tiet LH 198 (0d). Tran trong.",telecom,abbreviation,0,general,all,customer,Quy khach,false,,0,1.0,reward_incentive,click_or_visit_link|call_phone,bam goi *098# hoac truy cap My Viettel tai https://myvt.page.link/goidata || LH 198 (0d),,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01719,OTP cua Quy Khach la: 20666970. Ma xac thuc giao dich tren vi co hieu luc trong vong 2 phut. QK TUYET DOI khong cung cap OTP cho nguoi khac tranh bi lua dao!,banking_finance,abbreviation,1,general,all,customer,Quy Khach,false,,0,1.0,fear|urgency,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01145,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.,public_service,,0,general,all,customer,Bạn,false,,0,1.0,urgency,click_or_visit_link,kiểm tra email để tìm hiểu cách DỪNG yêu cầu này,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01191,(TB) TẶNG 50% TRÊN APP MYVNPT! VinaPhone tặng Quý khách 50% khi nạp tiền điện thoại bằng hình thức trực tiếp DUY NHẤT trên ứng dụng My VNPT trong hôm nay 14/9/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ).,telecom,irregular_casing|abbreviation,1,general,all,customer,Quý khách,false,,0,1.0,reward_incentive|scarcity,click_or_visit_link,trên ứng dụng My VNPT trong hôm nay 14/9/2025 tại: https://my.vnpt.com.vn/adv/napdt,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_00709,"The Visa 452404...6779 su dung tai 2C2*AMAZON PRIME VIDEO VN6717 2333 SG so tien 13,608 VND luc 17-12-2022 17:37:45. SD TK trich no tam tinh 1033311702: 486,392VND",banking_finance,abbreviation,0,general,all,customer,SD TK trich no tam tinh,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_01518,"(TB) Để phòng ngừa cháy, nổ trong dịp Tết Nguyên Đán, Công an tỉnh khuyến cáo: Không sắp xếp hàng hóa, vật dụng gần nguồn lửa, nguồn nhiệt và lấn chiếm lối đi; Trông coi khi đun nấu, thắp hương, đốt vàng mã, cỏ rác; Tắt thiết bị điện, khóa van gas khi không sử dụng; Mở lối thoát hiểm thứ hai, chuẩn bị phương án thoát nạn và các phương tiện chữa cháy; Tham gia “Tổ liên gia an toàn PCCC”; Khi có sự cố cháy, nổ gọi ngay 114 hoặc sử dụng App “Báo cháy 114”.",public_service,diacritic_omission,1,general,all,general_public,Công an tỉnh khuyến cáo,false,,0,1.0,authority,click_or_visit_link|call_phone,gọi ngay 114 || App “Báo cháy 114”,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04346,"Bách hóa xanh: Mời bạn đi chợ online, nhận ngay voucher giảm 20% cho đơn hàng thực phẩm tươi sống đầu tiên từ 200.000đ. Áp dụng qua App đến 31/08/2025. Xem tại bachhoaxanh.com.",commerce,,0,general,all,customer,Mời bạn đi chợ online,false,,0,1.0,reward_incentive,click_or_visit_link,Xem tại bachhoaxanh.com,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_03210,MoMo: Mung sinh nhat! Quy khach nhan ngay 1 luot quay trung qua 100% tai chuong trinh Sinh Nhat Vang tren MoMo. Han dung 30/11/2025. Choi ngay tai momo.vn. Tu choi QC: TC gui 8788.,marketing_promotion,teencode,1,general,all,customer,Quy khach nhan ngay 1 luot quay trung qua 100% tai chuong trinh Sinh Nhat Vang tren MoMo,false,,0,1.0,reward_incentive,click_or_visit_link,Choi ngay tai momo.vn,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_05375,[GHN] Shipper se den lay hang GHNR5566443322 luc 14:00. Vui long chuan bi kien hang. San sang tai ghn.vn,logistics,,0,general,all,customer,Shipper se den lay hang GHNR5566443322,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04875,[MTTQVN] Trân trọng cảm ơn Quý mạnh thường quân đã ủng hộ đồng bào khắc phục hậu quả bão lũ. Mọi thông tin sao kê được công khai tại mttqvietnam.org.vn.,public_service,,0,general,all,general_public,Quý mạnh thường quân,false,,0,1.0,social_proof,click_or_visit_link,mttqvietnam.org.vn,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04289,Tiki: Don hang TKI-5544332211 cua Quy khach da dat thanh cong. Quy khach vui long theo doi hanh trinh don hang tai https://tiki.vn/track/TKI5544332211,commerce,,0,general,all,customer,Don hang TKI-5544332211 cua Quy khach,false,,0,1.0,,click_or_visit_link,https://tiki.vn/track/TKI5544332211,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_05015,Shopee: Don hang #240315QWERTYU cua ban da dat thanh cong. Du kien giao hang tu 17/03 den 19/03. Cam on ban da mua sam.,commerce,,0,general,all,customer,Don hang #240315QWERTYU cua ban,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_03051,"Cuoi tuan nay ranh ko Thắng? Qua nha toi choi, moi mua dc may chai ruou ngon.",personal_social,teencode,1,general,all,general_public,Qua nha toi choi,false,,0,1.0,reward_incentive,visit_physical_location,Qua nha toi choi,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_03074,Tiki: Ma OTP xac nhan doi mat khau cua ban la 882103. Ma se het han sau 10 phut.,commerce,,0,general,all,customer,Ma OTP xac nhan doi mat khau cua ban la 882103.,false,,0,1.0,urgency,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02790,[VTP] Don hang VTP882736451: Da giao thanh cong luc 15:45 ngay 22/05. Cam on ban da su dung dich vu Viettel Post.,logistics,,0,general,all,customer,Don hang VTP882736451: Da giao thanh cong luc 15:45 ngay 22/05.,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04082,"Lazada: Ma xac minh dang nhap tren thiet bi moi la 441029. KHONG chia se ma nay voi bat ky ai, ke ca Lazada.",commerce,,0,general,all,customer,Ma xac minh dang nhap tren thiet bi moi la 441029.,false,,0,1.0,credential_request,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04154,VNeID: Ma OTP xac nhan dang nhap la 401293.,commerce,,0,general,all,customer,Ma OTP xac nhan dang nhap la 401293.,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_03472,Lotteria: Ban co 1 tin nhan qua tang! Moi ban be tai app nhan ngay voucher giam 30% cho combo Ga Ran. Han den 31/10/2026. lotteria.vn,marketing_promotion,,0,general,all,customer,Ban co 1 tin nhan qua tang! Moi ban be tai app nhan ngay voucher giam 30% cho combo Ga Ran.,false,,0,1.0,reward_incentive,click_or_visit_link,lotteria.vn,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_05152,Hom nay nghi lam di cf ko ong?,personal_social,teencode,1,adolescent|adult,all,general_public,Hom nay nghi lam di cf ko ong?,false,,0,1.0,,none,,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_05063,[TB] Viettel tang 50% luu luong data cho cac goi cuoc ST khi dang ky qua Viettel Money. Chi tiet xem tai app Viettel Money.,telecom,,0,general,all,customer,Viettel tang 50% luu luong data cho cac goi cuoc ST khi dang ky qua Viettel Money.,false,,0,1.0,reward_incentive,click_or_visit_link,tai app Viettel Money,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04302,Moi Quy khach Tran Van Hung kham theo lich luc 08:30 ngay 25/11/2024 tai Phong 302 - Khoa Tim mach - Benh vien Bach Mai. Vui long den dung gio de lam thu tuc.,healthcare,,0,general,all,patient,Moi Quy khach Tran Van Hung kham theo lich luc 08:30 ngay 25/11/2024 tai Phong 302 - Khoa Tim mach - Benh vien Bach Mai.,false,,0,1.0,,visit_physical_location,Vui long den dung gio de lam thu tuc.,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02765,NVVN77223344: Dang phan loai tai kho TP.HCM. Du kien giao 16/10 (tu 8h-12h). Theo doi tai https://ninjavan.co,logistics,,0,general,all,general_public,Dang phan loai tai kho TP.HCM,false,,0,1.0,,click_or_visit_link,Theo doi tai https://ninjavan.co,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_04730,"WinMart: Duy nhat thu Tu, Quy khach mua thit sach MEATDeli duoc giam 20% tren hoa don. Uu dai ap dung tai he thong den 25/06/2025. Hotline ho tro: 19006968.",commerce,,0,general,all,customer,Quy khach mua thit sach MEATDeli,false,,0,1.0,reward_incentive,click_or_visit_link,ap dung tai he thong,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02496,"THE THAO THUONG 2TR3, SLOT THUONG 230K TANG 90K KHI XAC MINH TAI KHOAN NAP TIEN LAN DAU TANG NGAY 50K DKY TAI: https://t.ly/oScnl lMEtM",investment,diacritic_omission|abbreviation|character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing,4,general,all,investor,SLOT THUONG 230K TANG 90K KHI XAC MINH TAI KHOAN NAP TIEN LAN DAU,true,character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing,3,0.9,reward_incentive,click_or_visit_link|provide_personal_information,DKY TAI: https://t.ly/oScnl,obfuscation_intent_uncertain,0.9,0.9,0.9,0.9,0.9,0.9
phase1_02500,3Jfu Ng dung mo'i naq 1OOK V..N..D de nh@n 188k-1888k diem: bit.ly/46mkyZ2 Nhan ngay quå tåg DK n å p dau 1 7 7 K Nhän ngay 177 K Ta¡ : bit.ly/7Wi2nE NOmQ,investment,diacritic_omission|abbreviation|teencode|character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing|character_repetition,4,general,all,investor,Ng dung mo'i naq 1OOK V..N..D de nh@n 188k-1888k diem,true,character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing|character_repetition,4,0.9,reward_incentive,click_or_visit_link,bit.ly/46mkyZ2 || bit.ly/7Wi2nE,obfuscation_intent_uncertain,0.9,0.9,0.9,0.9,0.9,0.9
phase1_02368,"j)t.ly/Q5YuG Um Cu,u~Th,ua8% ZJ Na.pVao-LanD:au,UuDa'j:8Tr8 PJ wz8:88.Bma Gu.i_C:OT~6OKa:H'SD;2_4H[[H6MW9KD1X191> zHoa'n,Tr'a~1,4% Ge",unknown,diacritic_omission|abbreviation|teencode|character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing|character_repetition|lang_switching,4,general,all,general_public,,true,character_substitution|punctuation_insertion|whitespace_splitting|irregular_spacing|irregular_casing|character_repetition,4,0.9,,unclear,,unreadable_content|obfuscation_intent_uncertain,0.1,0.9,0.1,0.9,0.1,0.1
phase1_02348,"Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế vừa trao đổi điện thoại với chị. Để làm tờ khai thuế online, mời chị truy cập và tải app của Cơ quan tại link: thuedientuu.vn Sau khi đã tải app xong, hãy phản hồi lại tin nhắn này để chúng tôi trao đổi và hướng dẫn các bước tiếp theo.",public_service,,0,general,all,customer,Chào chị. Tôi là Nguyễn Văn Hải - công chức tại Cơ quan Thuế,false,,0,1.0,authority,click_or_visit_link|install_application|reply_message,truy cập và tải app của Cơ quan tại link: thuedientuu.vn || hãy phản hồi lại tin nhắn này,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02457,"Chúc mừng chị, tài khoản Shopee nguyenthuha92. Shopee xin trân trọng thông báo tài khoản Shopee của quý khách đã rất may mắn nhận được thẻ quà tặng tiền mặt trị giá 200.000.000₫ từ Quà Tặng Shopee 2022. Nhận Quà Tặng Shopee - Truy cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng để nhận tiền về tài khoản. Shopee kính gửi!",commerce,,0,general,all,customer,tài khoản Shopee nguyenthuha92,false,,0,1.0,reward_incentive,click_or_visit_link|provide_personal_information,Truy cập ngay (https://shopee.vn-trangchu.click/messenger/) chọn đồng ý và xác nhận liên kết tài khoản ngân hàng,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02462,"KHÁCH HÀNG CHÚ Ý: Trong trường hợp Quý khách không phản hồi hoặc không yêu cầu hủy, hệ thống sẽ mặc định xác nhận sự đồng thuận tham gia gói bảo hiểm, dựa trên quy định tại Điều 38 - Luật Giao dịch điện tử năm 2005, áp dụng hình thức xác lập hợp đồng điện tử. Mọi thông tin chi tiết, phản hồi hoặc yêu cầu hỗ trợ, vui lòng liên hệ: Email: dvkh@dbvivn.com",commerce,,0,general,all,customer,KHÁCH HÀNG CHÚ Ý,false,,0,1.0,urgency|fear,reply_message,vui lòng liên hệ: Email: <EMAIL_1>,,1.0,1.0,1.0,1.0,1.0,1.0
phase1_02399,"E Ho Cho Cap Lai, lam Bang Lai Xe Cac Loai A,B,C,D..Cung Cap Cac Loai Giay To Khac CCCD,Bang DH,Cdang,TCap. GiaoHang va ThanhToan Tai Nha LH 0986557450 Rsmv",commerce,irregular_spacing,1,general,all,customer,"lam Bang Lai Xe Cac Loai A,B,C,D..Cung Cap Cac Loai Giay To Khac CCCD,Bang DH,Cdang,TCap",false,,0,1.0,reward_incentive,call_phone,LH <PHONE_1>,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_02412,https://ww.facebook.com/CSKHduongdinhninh035/ Chị nhắn vào Facebook bạn này ạ chị nhắn là tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng MVD: 1041 SĐT ĐẶT HÀNG: 0987654321,commerce,,0,general,all,customer,tôi muốn hoàn tiền đơn hàng mĩ phẩm HASAKI bị lỗi gây kích ứng,false,,0,1.0,,contact_off_platform,Chị nhắn vào Facebook bạn này ạ,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_02358,Tiktok đang tuyển nhân viên làm việc tại nhà ! ! ! Mô tả công việc: Xử lý đơn hàng ứng dụng của Tiktok. Thu nhập trong ngày 350 - 999k / ngày Thao tác đơn giản và bạn có thể nhận tiền sau 13 - 25 phút. Các bạn có nhu cầu tham gia xin liên hệ zalo.me/84937441240 zalo:84937441240,employment,punctuation_insertion|irregular_spacing,2,general,all,job_seeker,Tiktok đang tuyển nhân viên làm việc tại nhà,false,,0,1.0,reward_incentive,contact_off_platform,liên hệ zalo.me/<PHONE_1> zalo:<PHONE_2>,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_05796,[!] Bảo hiểm xã hội Nghị quyết 116: Bạn đã đủ Điều Kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp. Nhận tại www.yuiop.icu. QUÁ HẠN SẼ KHÔNG ĐƯỢC CHẤP NHẬN!,public_service,punctuation_insertion,1,general,all,general_public,Bạn đã đủ Điều Kiện nhận TIỀN từ quỹ Bảo hiểm thất nghiệp,false,,0,1.0,urgency|fear,click_or_visit_link,Truy cập https://nhantien-thue.vip,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_08561,Tổng cục Thuế: Bạn đã đủ điều kiện nhận tiền hỗ trợ thuế. Truy cập https://nhantien-thue.vip,public_service,,0,general,all,general_public,Bạn đã đủ điều kiện nhận tiền hỗ trợ thuế,false,,0,1.0,,click_or_visit_link,Truy cập https://nhantien-thue.vip,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_08562,VNeID: Cảnh báo tài khoản bị truy cập lạ. Vui lòng đổi mã PIN tại https://vneid-security.top,public_service,,0,general,all,general_public,VNeID: Cảnh báo tài khoản bị truy cập lạ,false,,0,1.0,fear|urgency,click_or_visit_link,Đổi mã PIN tại https://vneid-security.top,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_09593,Bo C0ng 4n: Thong b4o x4c thuc tai khoan VNeID muc do 2. Bam vao link: https://vneid-vca.cc,public_service,diacritic_omission|character_substitution,3,general,all,general_public,Bo C0ng 4n: Thong b4o x4c thuc tai khoan VNeID muc do 2,true,character_substitution,2,0.9,fear|urgency,click_or_visit_link,Bam vao link: https://vneid-vca.cc,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_05993,VNeID: Hệ thống phát hiện tài khoản bạn bị xâm phạm. Vui lòng xác thực tại https://vneid-portal.xyz,public_service,,0,general,all,general_public,VNeID: Hệ thống phát hiện tài khoản bạn bị xâm phạm,false,,0,1.0,fear|urgency,click_or_visit_link,Xác thực tại https://vneid-portal.xyz,,0.9,0.9,0.8,0.9,0.8,0.9
phase1_09215,Cuc Vien thong: Thue b4o cwa ban se bi thu hoi. Lien he 0345678901,public_service,,0,general,unknown,general_public,Thue bao cwa ban,false,,0,1.0,,call_phone,Lien he <PHONE_1>,,0.8,1.0,0.8,1.0,1.0,1.0
phase1_08420,H;C_M-E:m;s_I_n:H_v;I_e:N:c_U_t_E. HCM – Telegram: https://t.me/hcm_cute_sv rT8p,other,punctuation_insertion|whitespace_splitting|irregular_spacing,3,general,unknown,general_public,HCM – Telegram,false,,0,1.0,link_lure,click_or_visit_link,https://t.me/hcm_cute_sv,,0.7,0.9,0.7,1.0,1.0,1.0
phase1_07294,"[CANH CAO LAN CUOI]: Ong Ly Hai Nam CMND: 024857361 co khoan vay 4,125,500VND tai Mcredit da qua han. Yeu cau thanh toan trong 24H nua. Neu khong chung toi se thong bao nguoi than gia dinh va thuc hien bien phap cuong che tai san. SDT: 0977889900.",debt_collection,,0,adult,male,debtor,Ong Ly Hai Nam CMND: <PHONE_1>,false,,0,1.0,urgency|fear|threat,make_payment|contact_off_platform,Yeu cau thanh toan trong 24H nua || LH: <PHONE_2>,,0.9,1.0,0.9,1.0,1.0,1.0
phase1_07286,"TB KHAN: Yeu cau Ong Nguyen Hoang Nam CMND: 025847361 thanh toan khoan no 15,243,000VND cho Cong ty Tai chinh FE truoc 16H Ngay 25/05. Neu tiep tuc tron tranh, chung toi se Cong Khai HINH ANH va THONG TIN len mang xa hoi va gui thong bao ve dia phuong. LH: 0912837465.",debt_collection,,0,adult,male,debtor,Ong Nguyen Hoang Nam CMND: <PHONE_1>,false,,0,1.0,urgency|fear|threat,make_payment|contact_off_platform,"Yeu cau thanh toan khoan no 15,243,000VND || LH: <PHONE_2>",,0.9,1.0,0.9,1.0,1.0,1.0
